N,P,K,temperature,humidity,rainfall,ph,label
142.68,38.16,32.61,27.09,87.97,1178.03,5.99,rice
187.38,39.53,48.21,34.05,60.3,1298.1,6.54,rice
129.41,56.09,36.45,26.99,64.43,1365.01,6.95,rice
116.73,44.26,38.65,25.82,63.41,1132.69,6.9,rice
100.04,59.42,46.86,28.68,62.63,1299.25,6.78,rice
148.39,30.54,40.42,31.72,67.54,1218.52,6.17,rice
106.79,25.27,45.48,26.02,67.29,1265.01,5.92,rice
145.96,45.83,39.71,26.74,88.34,1267.69,6.55,rice
143.56,39.56,46.67,25.88,71.68,1388.46,6.65,rice
107.57,30.76,36.02,29.02,82.3,1028.77,5.81,rice
94.86,45.76,33.98,33.12,75.47,1368.48,5.93,rice
199.26,46.6,45.52,30.84,86.35,1306.67,5.9,rice
107.84,26.59,37.15,25.94,61.74,1237.03,6.7,rice
145.14,33.35,35.26,34.83,89.78,1186.61,6.59,rice
191.48,44.63,33.48,27.02,68.78,1064.75,6.45,rice
169.38,33.31,47.82,27.72,60.06,1437.49,6.23,rice
181.37,41.09,49.67,27.11,88.54,1472.51,5.7,rice
182.1,30.14,33.51,31.95,69.53,1311.95,6.7,rice
120.88,25.82,32,29.52,75.9,1168.16,6.73,rice
167.7,47.66,43.29,29.7,62.01,1367.51,6.59,rice
191.56,54.82,42.17,27.04,61.3,1310.75,6.61,rice
143.08,41.25,43.68,26.88,68.03,1088.34,6.79,rice
137.55,47.42,33.53,31.82,69.6,1197.53,6.94,rice
86.73,29.17,37.66,27.21,79.75,1075.24,5.74,rice
125.12,47.16,44.93,29.25,77.73,1206.95,5.53,rice
155.47,48.35,41.52,34.99,76.84,1124.83,6.48,rice
126.97,59.8,31.66,28.46,77.89,1127.83,6.61,rice
160.32,59.33,34,34.61,66.77,1274.89,6.64,rice
111.14,29.3,44.29,28.52,66.22,1042.17,5.65,rice
182.19,29.45,40.71,30.89,73.9,1132.37,6.93,rice
169.96,54.84,32.11,29.69,67.69,1082.72,6.67,rice
108.76,31.51,46.12,27.06,84.05,1134.13,5.8,rice
169.85,58.9,38.85,33.83,73.98,1388.97,5.61,rice
159.29,29.69,39.25,25.24,82.87,1163.86,5.77,rice
185.72,31.12,37.54,29.94,65.06,1342.34,6.76,rice
180.97,41.5,40.42,29.66,81.83,1478.2,6.54,rice
123.13,27.71,34.4,29.48,86.72,1230.68,6.65,rice
123.07,54.02,39.89,29.6,66.24,1352.17,6.92,rice
158,36.54,44.04,30.99,82.14,1008.02,5.89,rice
148.03,51.88,39.21,29.44,86.98,1311.64,5.88,rice
108.02,32.15,47.48,32.1,82.68,1436.21,6.5,rice
189.37,26.92,44.01,26.06,78.19,1396.6,6.14,rice
145.78,40.59,46.48,29.68,61.24,1262.9,6.6,rice
164.13,31.99,30.76,30.23,83.26,1071.07,5.91,rice
165,32.95,46.51,28.59,62.28,1079.16,6.65,rice
198.36,37.23,39.09,25.43,72.32,1156.92,5.64,rice
141.42,30.97,47.84,29.76,82.9,1016.44,6.17,rice
79.96,58.37,36.13,31.15,86.83,1340.92,5.63,rice
154.14,33.85,35.19,34.29,78.51,1142.97,5.5,rice
110.03,49.32,41.61,27.08,68.07,1283.61,5.61,rice
161.26,31.78,34.59,34.89,81.21,1452.73,5.62,rice
182.66,51.73,39.67,26.11,62.62,1331.84,6.22,rice
186.6,35.53,36.97,32.41,84.76,1444.72,6.54,rice
125.71,41.47,40.5,31.51,84.74,1482.8,5.95,rice
155,53.17,39.3,30.6,88.09,1021.32,6.71,rice
124.57,38.75,34.55,33.4,65.86,1283.68,6.45,rice
85.98,31.67,48.25,25.62,89.86,1343.63,5.61,rice
120.25,46.65,36.02,28.98,62.39,1320.94,5.97,rice
167.2,46.7,31.11,30.93,79.96,1487.1,5.98,rice
110.21,51.63,39.15,25.1,65.54,1312.79,5.58,rice
129.96,55.08,34.94,26.86,77.98,1110.72,6.62,rice
129.46,56.47,46.46,31.39,67.67,1136.99,6.69,rice
98.51,33.33,76.04,23.98,52.41,570.33,6.04,watermelon
104.2,48.16,90.76,33.82,69.12,546.6,6.14,watermelon
110,50.76,93.85,23.82,58.88,516.66,6.02,watermelon
108.18,44.27,92.25,25.36,63.6,527.97,6.17,watermelon
96.47,43.98,77.86,30.82,46.38,561.15,6.34,watermelon
113.87,35.05,60.3,24.73,50.01,455.51,6.44,watermelon
119.29,53.02,65.09,25.23,43.09,510.55,6.72,watermelon
93.84,49.92,62.31,33.44,49.89,432.41,6.02,watermelon
92.37,50.41,80.61,24.08,69.48,594.64,6.03,watermelon
112.85,46.89,68.77,27.21,60.02,558.53,6.63,watermelon
116.77,53.35,69.3,31.88,44.95,473.69,7,watermelon
87.26,42.67,71.06,30.79,45.75,519.88,6.02,watermelon
101.4,57.81,93.72,26.93,43.87,584.92,6.9,watermelon
113.03,44.43,77.94,25.15,68.04,541.59,6.84,watermelon
104.51,36.3,90.11,26.76,62.9,411.61,6.4,watermelon
115.17,40,74.58,26.15,45.85,452.92,6.12,watermelon
92.14,55.06,83.23,22.92,69.82,469.69,6.37,watermelon
116.43,38.97,93.43,24.36,52.15,597.88,6.52,watermelon
103.65,44.14,65.95,32.81,57.42,488.9,6.7,watermelon
84.34,36.24,75.79,32.98,50.21,457,6.88,watermelon
94.83,59.43,69.01,34.63,61.7,562.04,6.68,watermelon
95.58,42.63,75.59,32.76,69.65,501.48,6.35,watermelon
82.16,56.87,83.92,28.75,45.82,447.25,6.72,watermelon
108.48,46.92,86.69,31.24,69.6,404.09,6.18,watermelon
104.27,49.7,64.8,25.3,61.42,501.48,6.58,watermelon
93.22,37.64,69.62,34.47,41.6,555.44,6.89,watermelon
103.55,42.68,95.63,27.93,63.5,524.62,6.36,watermelon
81.15,38.28,63.75,27.69,49.76,543.28,6.65,watermelon
86.03,58.38,73.77,23.59,41.94,493.12,6.29,watermelon
105.3,41.58,97.27,33.9,65.6,494.02,6.54,watermelon
118.94,51.15,89.38,31.38,51.21,516.47,6.72,watermelon
80.82,44.15,94.98,22.02,41.65,556.85,6.16,watermelon
82.12,43.91,78.86,23.25,64.94,456.77,6.61,watermelon
89.15,40,98.21,23.21,41.39,428.75,6.04,watermelon
109.22,38.79,87.11,34.07,42.12,541.87,6.63,watermelon
94.07,37.25,83.58,23.69,44.49,544.67,6.21,watermelon
83.31,38.26,78.2,29.01,67.94,505.74,6.18,watermelon
96.93,33.71,86.99,28.29,53.01,564.89,6.89,watermelon
106.62,36.07,73.83,28.28,60.56,443.76,6.27,watermelon
87.27,47.23,67.87,31.07,52.43,468.17,6.92,watermelon
95.01,39.19,60.35,28.7,64.64,426.47,6.08,watermelon
91.49,58,77.88,30.22,50.94,556.98,6.16,watermelon
80.08,48.07,80.62,33.89,51.81,535.09,6.53,watermelon
99.96,34.94,80.27,23.93,61.72,492.73,6.87,watermelon
88.08,40.49,74.03,24.43,67.78,449.87,6.47,watermelon
100.75,52.05,69.74,26.61,68.5,539.46,6.62,watermelon
82.87,42.75,87.66,29.46,44.12,424.88,6.25,watermelon
83.93,45.5,69.45,33.34,40.85,546.7,6.01,watermelon
106.07,32.64,73.46,30.77,64.01,486.24,6.5,watermelon
103.01,56.57,75.07,22.58,52.8,449.17,6.11,watermelon
89.32,37.26,76.31,24.43,50.41,572.58,6.3,watermelon
103.77,52.21,66.12,24.69,48.79,475.75,6.76,watermelon
104.97,30.73,86.73,32.94,52.83,506.46,6.89,watermelon
97.76,59.89,70.94,30.18,44.31,474.57,6.12,watermelon
86.67,47.46,83.45,23.57,66.11,517.01,6.42,watermelon
103.9,52.8,72.4,29.51,56.37,559.14,6.64,watermelon
91.44,57.74,63.14,29.16,67.19,473.24,6.76,watermelon
84.29,57.75,82.67,25.49,57.52,476.7,6.96,watermelon
101.57,42.77,62.64,28.21,64.68,503.84,6.07,watermelon
96.57,36.91,96.8,28.24,47.72,501.26,6.93,watermelon
105.69,39.19,94.41,33.09,66.22,507.7,6.78,watermelon
99.67,31.9,63.74,34.23,63.89,548.24,6.38,watermelon
103.37,42.31,77.28,34.45,68.04,446.09,6.84,watermelon
112.28,35.44,72.74,33.72,41.57,586.27,6.09,watermelon
93.65,54.83,76.57,31.64,59.43,540.89,6.02,watermelon
92.01,30.97,74.4,25.12,53.02,532.28,6.84,watermelon
99.49,57.1,82.19,25.06,51.52,430.21,6.64,watermelon
98.83,50.91,78.2,30.75,60.04,500.07,6.87,watermelon
108.14,56.24,60.63,34.35,40.66,559.33,6.25,watermelon
95.22,51.43,90.81,32.88,44.15,528.16,6.85,watermelon
81.29,32.56,99.72,30.02,60.04,591.65,6.21,watermelon
80.29,44.27,97.65,34.81,67.91,482.29,6.19,watermelon
85.54,59.05,62.76,31.92,40.41,572.28,6.67,watermelon
109,50.88,69.36,27.53,67.82,488.02,6.64,watermelon
87.02,57.41,79.28,27.95,65.64,498,6.88,watermelon
117.65,58.26,64.66,28.53,43.89,516.22,6.4,watermelon
113.79,46.4,94.3,32.93,63.44,536.54,6.89,watermelon
97.76,46.79,88.81,30.81,50.45,463.42,6.93,watermelon
119.98,49.49,79.29,35,64.14,477.22,6.8,watermelon
110.47,32.23,64.79,24.8,42.34,442.24,6.36,watermelon
84.15,50.24,68.32,31.13,55.84,541.77,6.48,watermelon
86.97,30.85,96.8,27.24,50.5,563.53,6.74,watermelon
110.79,55.38,66.84,24.38,41.04,403.71,6.45,watermelon
109.14,30.87,62.18,27.66,69.2,449.04,6.3,watermelon
89.12,47.92,72.59,33.1,62.87,457.01,6.39,watermelon
85.94,49.44,91.72,24.42,48.22,524.96,6.8,watermelon
116.65,37.35,71.95,28.27,56.53,533.84,6.77,watermelon
84.7,55.63,73.66,32.76,63.78,517.56,6.82,watermelon
87.72,41.22,95.97,29.94,45.64,591.85,6.84,watermelon
102.3,33.9,69.05,28.83,61.47,556.85,6.93,watermelon
90.04,48.57,80.37,30.94,67.34,466.46,6.71,watermelon
104.17,58.29,68.08,31.19,67.13,572.56,6.22,watermelon
96.45,59.7,65.61,25.73,65.12,492.38,6.19,watermelon
92.17,56.29,77.38,27.35,55.75,528.24,6.79,watermelon
96.01,33.02,80.73,33.75,65.7,421.17,6.37,watermelon
111.97,41.29,93.82,30.25,46.27,494.32,6.24,watermelon
107.23,36.32,73.14,33.1,63.91,448.33,6.68,watermelon
100.73,54.99,77.51,32.97,55.13,537.4,6.09,watermelon
91.3,48.12,92.16,31.23,46.74,433.74,6.5,watermelon
91.31,37.5,61.42,32.47,53.62,590.79,6.74,watermelon
105.18,31.26,127.62,32.03,45.54,671.02,6.48,pomegranate
134.93,26.94,108.36,34.04,51.63,602.47,6.64,pomegranate
126.62,36.98,112.83,32.18,49.61,719.45,7.01,pomegranate
131.84,36.96,106.02,28.53,55.84,703.83,6.21,pomegranate
117.59,29.98,128.79,26.72,50.75,781.61,6.71,pomegranate
111.64,29.64,126.54,29.49,47.18,713.08,6.64,pomegranate
111.12,45.23,119.71,26.45,58.64,535.42,7.29,pomegranate
103.39,41.01,113.13,33.87,56.2,574.03,6.47,pomegranate
112.76,46.24,130.76,34.15,48.95,779.87,7.23,pomegranate
141.25,30.36,143.83,30.2,45.08,777.78,7.15,pomegranate
148.63,25.75,149.28,25.82,48.18,728.81,7.14,pomegranate
132.45,38.82,145.94,33.26,43.85,568.06,6.54,pomegranate
140.83,33.3,120.11,25.18,51.34,731.15,6.62,pomegranate
146.65,27.86,101.73,31.24,43.85,569.21,6.39,pomegranate
101.32,26,108.9,32.25,55.94,697.23,7.12,pomegranate
130.78,37.43,125.37,26.89,42.33,723.37,7.35,pomegranate
115.01,38.7,101.34,33.21,52.23,772.9,7.45,pomegranate
100.08,48.86,148.95,32.72,55.49,626.45,6.61,pomegranate
146.31,31.14,129.73,25.8,59.09,552.48,7.22,pomegranate
116.35,47.68,130.25,25.34,55.53,703.56,6.21,pomegranate
143.57,49.92,133.14,28.46,48.98,541.42,6.48,pomegranate
140.16,37.92,123.65,25.81,47.05,683.99,6.92,pomegranate
106.26,27.88,146.54,34.27,59.79,577.22,6.21,pomegranate
131.65,34.76,124.13,34.44,48.38,695.4,7.4,pomegranate
103.31,37.04,148.75,29.55,57.24,551.89,7.23,pomegranate
114.63,35.86,144.79,27.81,59.72,688.84,7.43,pomegranate
108.2,36.16,123.35,25.21,50,709.73,7.39,pomegranate
125.65,34.65,106.69,31.3,50.13,539.41,6.37,pomegranate
149.79,48.89,146.44,28.23,43.42,642.87,6.24,pomegranate
103.7,46.79,103.91,27.78,55.38,704.55,6.28,pomegranate
116.1,30.34,115.63,33.06,41.77,711.34,6.32,pomegranate
119.77,30.41,103.44,27.94,48.46,666.86,6.05,pomegranate
102.95,39.74,112.38,31.65,44.38,714.61,6.19,pomegranate
136.45,48.71,125.6,27.48,43.99,726.96,6.44,pomegranate
132.91,34.45,124.57,34.8,44.37,575.01,6.58,pomegranate
117.41,29.11,112.81,32.69,45.05,692.08,7.39,pomegranate
130.34,28.11,104.37,31.2,46.59,773.23,6.2,pomegranate
130.37,32.92,111.86,29.02,54.44,716.12,6.31,pomegranate
134.31,25.63,135.08,27.67,53.74,586.44,6.81,pomegranate
121.64,43.07,147.56,32.73,52.02,558.12,6.33,pomegranate
134.76,29,144.37,27.39,43.59,757.4,6.48,pomegranate
104.19,41.35,136.39,26.75,49.06,589.46,6.18,pomegranate
123.24,47.36,110.89,34.59,41.5,563.04,7.48,pomegranate
143.26,40.2,133.41,31.46,53.68,544.29,6.34,pomegranate
123.71,49.58,123.53,34.5,49.36,714.12,6.28,pomegranate
113.99,47.77,111.31,25.76,40.07,564.77,6.25,pomegranate
147.74,44.84,132.69,32.13,45.68,723.77,6.22,pomegranate
140.68,44.07,129.38,34.4,42.56,567.64,6.07,pomegranate
122.84,27.9,144.9,30.78,59.63,705.62,6.28,pomegranate
144.62,28.42,125.65,32.46,42.54,573.2,6.56,pomegranate
131.59,35.2,121.7,32.28,46.81,595.9,6.68,pomegranate
120.75,32.07,113.25,34.04,52.71,791.64,6.69,pomegranate
130.34,48.34,118.78,31.51,40.45,637.27,6.26,pomegranate
129.82,26.43,126.98,26.67,41.59,672.4,6,pomegranate
121.74,28.27,141.55,30.29,56.64,564.5,7.39,pomegranate
127.27,48.73,103.52,28.15,41.38,615.81,6.32,pomegranate
124.04,47.7,136.17,31.27,50.08,620.75,6.01,pomegranate
128.47,27.94,131.93,26.98,42.25,601.62,6.18,pomegranate
148.21,46.82,131.58,27.25,41.91,549.06,7.11,pomegranate
113.33,38.67,112.11,26.19,44.72,719.89,6.06,pomegranate
143.73,48.74,112.01,28.15,57.29,679.68,6.48,pomegranate
124.8,33.25,134.98,28.03,51.04,686.75,6.5,pomegranate
122.92,36.18,133.62,26.86,43.7,663.51,6.98,pomegranate
105.38,30.65,114.7,25.92,45.42,708.26,6.51,pomegranate
115.25,39.47,147.09,25,58.43,760.91,6.05,pomegranate
141.11,29.01,145.29,34.74,43.18,505.28,7.5,pomegranate
109.21,27.79,147.26,25.86,45.35,675.89,7.23,pomegranate
126.12,44.56,107.81,32.34,54.3,727.07,6.01,pomegranate
127.29,38.4,130.02,29.62,48.82,549.24,6.16,pomegranate
147.81,30.04,139.08,27.25,57.63,513.65,7.32,pomegranate
123,37.41,145.78,28.34,45.26,553.03,7.04,pomegranate
142.76,46.49,149.36,26.83,41.94,594.04,7.17,pomegranate
133.91,27.59,117.65,32.05,58.99,724.03,7.14,pomegranate
118.35,45.04,131.08,26.61,51.62,738.41,6.04,pomegranate
131.15,36.57,145.15,30.66,57.09,591.97,6.34,pomegranate
145.08,36.12,149,32.99,53.19,637.02,6.37,pomegranate
132.84,40.73,102.09,32.85,57.24,540.73,6.98,pomegranate
145.55,26.6,116.27,27.58,44.62,602.28,6.33,pomegranate
149.66,41.7,137.01,27.8,52.47,626.09,6.61,pomegranate
135.5,46.8,101.99,27.23,48.61,549.93,6.24,pomegranate
138.65,40.63,104.45,27.72,44.2,600.96,6.48,pomegranate
120.63,27.95,146.61,34.99,53.1,664.78,7.38,pomegranate
148.66,31.57,126.14,30.21,40.36,704.69,6.2,pomegranate
106.96,28.52,139.68,33.85,59.92,623.5,6.83,pomegranate
117.21,37.44,113.98,33.1,44.47,703.19,6.7,pomegranate
105.5,42.04,117.2,26.9,57.79,712,6.41,pomegranate
140.69,33.6,145.78,32.03,59.12,512.83,7.09,pomegranate
129.9,35.63,117.6,26.8,58.96,564.44,7.17,pomegranate
137.9,30.42,114.38,29.57,43.37,793.74,6.35,pomegranate
122.89,42.32,114.84,26.08,49.73,779.67,6.71,pomegranate
120.87,37.55,100.74,31.28,46.04,729.93,6.83,pomegranate
106.53,29.63,101.54,25.61,55.28,684.7,6.9,pomegranate
108.6,44.96,116.07,28.53,47.33,612.74,7.25,pomegranate
145.12,47.15,144.4,31.48,50.17,510.82,6.94,pomegranate
133.31,44.15,134.56,28.05,55.58,728.32,6.66,pomegranate
127.67,38.12,131.84,34.68,44.06,778.98,6.62,pomegranate
115.67,48.19,114.14,29.68,57.05,606.34,6.91,pomegranate
121.4,46.43,132.37,26.13,41.99,712.65,6.38,pomegranate
133.42,32.02,132.84,34.78,53.94,766.22,6.96,pomegranate
132.51,33.85,149.37,34.33,56.59,561.74,6.19,pomegranate
24.83,23.33,21.66,26.2,75.68,776.61,6.64,pigeonpeas
25.18,25.57,22.85,29.35,71.77,833.46,6.83,pigeonpeas
22.46,25.59,20.69,26.42,64.57,878.81,6.92,pigeonpeas
22.35,24.99,21.08,27.7,60.57,601.69,6.37,pigeonpeas
24.53,24.88,23.61,27.52,73.03,681.79,7.07,pigeonpeas
24.13,22.75,22.34,27.58,67.54,720.14,7.29,pigeonpeas
27.97,24.66,24.4,27.83,71.91,979.82,7.05,pigeonpeas
27.91,22.48,24.03,27.2,66.5,882.73,6.72,pigeonpeas
29.08,23.79,20.68,27.34,66.08,781.39,7.15,pigeonpeas
24.37,22.18,24.26,27.05,77.08,912.42,7.15,pigeonpeas
26.46,24.26,22.22,28.51,69.58,701.17,6.2,pigeonpeas
25.97,25.44,24.09,27.7,67.87,860.61,7.31,pigeonpeas
23.68,25.52,22.94,29.54,79.99,799.07,6.68,pigeonpeas
21,22.99,21.37,29.08,68.44,773.6,6.65,pigeonpeas
25.59,23.73,24.72,27.2,65.25,720.29,7.42,pigeonpeas
29.4,25.86,21.39,26.03,77.8,672.25,6.88,pigeonpeas
29.68,25.56,21.64,26.88,70.29,786.72,6.57,pigeonpeas
26.29,23.83,24.23,28.09,76.3,944.6,6.25,pigeonpeas
28.19,24.66,24.57,27.13,66.04,898.93,6.8,pigeonpeas
28.94,22.96,24.85,27.61,65.5,829.39,6.2,pigeonpeas
27.94,24.03,21.51,29.26,60.67,811.69,6.29,pigeonpeas
23.41,25.49,21.29,26.95,73.34,815.32,6.32,pigeonpeas
27.1,22.85,23.88,28.71,67.27,885.23,6.05,pigeonpeas
24.98,23.13,24.03,30,76.69,881.84,6.8,pigeonpeas
22.76,25.76,25,27.26,62.65,840.9,6.49,pigeonpeas
22.9,24.05,24.9,26.11,70.27,853.21,6.81,pigeonpeas
22.89,22.28,23.72,26.24,73.57,730.74,7.11,pigeonpeas
22.75,24.01,21.92,26.4,62.32,888.55,7.23,pigeonpeas
20.54,22.33,21.22,27.25,71.89,678.19,6.11,pigeonpeas
23.98,22.41,20.16,26.11,74.24,881.99,7.21,pigeonpeas
29.51,22.89,24.36,28.76,71.83,785.59,6.35,pigeonpeas
21.1,24.18,20.51,27.25,72,737.82,6.49,pigeonpeas
27.58,25.27,21.49,26.2,71,733.67,6.69,pigeonpeas
24.3,22.9,22.81,28.63,63.29,822.46,6.26,pigeonpeas
22.65,22.47,21.05,26.4,72.38,907.92,6.27,pigeonpeas
21.65,24.59,24.87,26.76,60.08,707.97,6.57,pigeonpeas
25.27,23.87,24.49,29.57,78.08,601.43,6.87,pigeonpeas
21.24,23.18,20.05,29.77,64.41,628.9,7,pigeonpeas
29.04,24.18,22.59,29.29,67.05,709.06,6.06,pigeonpeas
20.03,22.89,20.81,26.69,74.09,803.44,6.03,pigeonpeas
27.86,24.26,22.8,28.85,64.87,679.82,6.64,pigeonpeas
24.35,24.29,23.89,26.92,71.55,859.53,6.78,pigeonpeas
26.76,22.98,21.15,29.71,78.61,983.72,6.91,pigeonpeas
25.7,22.81,20.35,26.87,61.37,675.96,6.71,pigeonpeas
24.84,23.04,22.92,26.26,73.45,701.59,7.21,pigeonpeas
25.45,23.21,23.03,26.41,75.19,780.89,6.06,pigeonpeas
24.19,24.87,21.85,29.97,72.88,611.35,6.51,pigeonpeas
22.2,22.58,20.92,29.43,74.97,714.28,6.05,pigeonpeas
21.7,22.56,23.95,28.81,75.05,893.66,6.83,pigeonpeas
24.66,22.97,20.84,28.61,69.17,657.98,6.76,pigeonpeas
27.09,25.01,21.32,27.23,63.73,880.56,6.66,pigeonpeas
25.35,24.48,22.48,28.53,75.6,817.47,6.77,pigeonpeas
27.19,25.65,23.1,28.81,76.67,604.47,6.71,pigeonpeas
23.68,23.89,22.79,29.36,65.72,969.06,7.25,pigeonpeas
24.78,23.7,24.7,27.72,66.5,932.3,6.83,pigeonpeas
20.62,25.2,23.74,27.09,77.88,882.43,6.46,pigeonpeas
24.77,22.31,21.15,28.91,60.15,804.85,6.17,pigeonpeas
23.79,22.03,23.78,27.54,79.47,613.95,6.99,pigeonpeas
29.86,23.34,24.26,30,64.36,684.85,6.75,pigeonpeas
24.57,23.03,24.51,29.67,77.65,610.17,6.82,pigeonpeas
25.24,25.44,23.68,28.92,75.35,684.18,7.18,pigeonpeas
28.66,24.07,23.83,28.52,64.26,799.38,7.42,pigeonpeas
28.99,25.71,24.5,26,74.57,946.01,6.2,pigeonpeas
25.14,25.28,23.22,28.22,61.93,928.46,6.4,pigeonpeas
21.03,25.73,22.99,26.49,67.11,727.33,7.34,pigeonpeas
25.36,24.95,23.19,26.25,68.73,703.66,6.75,pigeonpeas
26.69,22.67,21.72,27.03,60.97,911.51,6.59,pigeonpeas
27.92,22.13,22.59,27.03,69.42,729.65,6.93,pigeonpeas
23.44,25.21,24.38,27.43,64.26,711.18,7.07,pigeonpeas
22.65,24.85,22.94,28.93,77.81,972.44,6.99,pigeonpeas
29.25,24.33,20.01,28.46,74.74,698.83,7.09,pigeonpeas
24.93,24.53,22.36,27.46,74.53,744.74,6.27,pigeonpeas
25.59,25.66,23.62,27.58,68.78,690.04,6.23,pigeonpeas
24.73,25.31,21.53,26.51,65.23,886.16,7.36,pigeonpeas
29.62,23,22.45,26.29,78.29,894.29,6.58,pigeonpeas
23.52,25.46,22.84,29.32,73.22,627.79,7.11,pigeonpeas
25.87,22.41,21.35,26.86,70.25,644.16,6.7,pigeonpeas
28.86,22.95,21.84,28.2,64.26,667.64,6.75,pigeonpeas
22.45,22.4,20.99,27.09,65.95,772.43,6.7,pigeonpeas
26.92,25.13,23.4,28.6,68.08,843.19,6.49,pigeonpeas
29,23.22,24.7,27.86,76.34,764.91,7.09,pigeonpeas
25.15,23.36,20.01,26.07,62.66,756.72,6.85,pigeonpeas
25.39,23.21,24.79,26.51,63.48,622.31,6.66,pigeonpeas
28.86,24.84,22.18,28.51,68.66,768.72,7.12,pigeonpeas
27.04,25.96,23.31,27.94,68.34,729.19,7.09,pigeonpeas
25.17,25.35,22.42,27.11,70.93,746.94,6.64,pigeonpeas
28.17,22.01,22.76,26.52,71.57,934.56,6.47,pigeonpeas
26.41,25.11,24.56,26.78,64.53,607.85,7.33,pigeonpeas
28.81,22.25,20.85,28.03,60.37,993.91,6.87,pigeonpeas
27.63,23.21,24.24,29.24,73.09,907.79,6.75,pigeonpeas
20.71,25.6,22.64,27.67,75.24,776.83,7.25,pigeonpeas
29.93,22.28,22.76,28.33,62.49,609.53,6.45,pigeonpeas
23.88,24.6,20.81,26.13,62.12,808.76,6.57,pigeonpeas
25.31,22.64,22.58,27.86,60.91,947.28,7.44,pigeonpeas
21.73,24.31,20.12,26.01,61.54,882.83,7.13,pigeonpeas
29.29,23.93,23.52,29.54,66.83,912.08,6.84,pigeonpeas
24.58,23.68,23.67,26.63,70.87,751.25,6.32,pigeonpeas
22.7,24.78,23.89,27.98,75.6,836.81,7,pigeonpeas
24.82,23.52,24.76,29.52,78.11,988.9,6.3,pigeonpeas
29.67,23.46,24.8,26.57,78.86,792.91,6.58,pigeonpeas
168.56,55.53,218.97,26.37,87.19,1435.99,6.43,papaya
192.86,81.37,210.46,27.74,86.08,1106.22,6.14,papaya
166.98,50.19,158.48,25.16,86.33,1245.41,6.21,papaya
177.89,95.74,212.07,25.68,73.67,1065.06,6.34,papaya
199.55,91.78,180.67,27.21,81.21,1298.38,6.31,papaya
157.37,84.64,222.41,29.62,85.92,1233.76,6.11,papaya
154.38,64.8,210.93,25.44,77.47,1464.21,6.24,papaya
197.54,53.03,216.04,29.34,88.85,1023.26,6.05,papaya
180.61,82.47,173.33,27.24,86.24,1486.9,6.08,papaya
198.61,80.52,221.53,27.68,82.94,1095.33,6.15,papaya
179.96,79.82,181.08,29.81,76.35,1207.14,6.31,papaya
156.99,63.96,179.37,29.76,81.14,1321.85,6.34,papaya
180.65,58.72,186.69,29.24,76.84,1393.73,6.44,papaya
186.98,98.29,228.14,27.57,82.2,1067.53,6.35,papaya
160.07,71.09,170.29,28.65,75.38,1048.61,6.17,papaya
